interaction_id,user_id,song_id,play_count,liked,skipped,rating,device,session_duration_sec,timestamp,engagement_score,is_positive,age,gender,preferred_genre,preferred_language,song_name,artist,genre,language,duration_sec,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo_bpm
I000011,U0691,S0473,3,0,0,5,Mobile,792,45969.07691,5,0,17,Male,Rock,English,Song_0473,Artist_027,Pop,English,200,18,0.35,0.158,-9.98,0.024,0.245,0.751,0.412,0.262,128.58
I000012,U0592,S0313,7,1,0,3,Tablet,736,46135.02979,7.6,0,17,Male,Jazz,Telugu,Song_0313,Artist_038,Rock,English,159,37,0.648,0.315,-9.6,0.232,0.143,0.626,0.639,0.566,145.78
I000013,U0141,S0438,3,1,0,4,Mobile,211,46249.61404,6.3,1,28,Female,Lo-Fi,English,Song_0438,Artist_001,Electronic,Hindi,289,59,0.767,0.616,-8.04,0.19,0.597,0.071,0.615,0.781,62.88
I000014,U0474,S0440,1,1,1,3,Web,770,46226.97772,2.6,0,31,Female,Lo-Fi,English,Song_0440,Artist_022,Country,Telugu,257,73,0.39,0.22,-7.23,0.11,0.076,0.053,0.384,0.381,95.71
I000015,U0031,S0324,5,1,0,4,Mobile,176,46136.5085,7.3,1,57,Male,Rock,Spanish,Song_0324,Artist_067,Pop,English,229,62,0.85,0.583,-12.05,0.043,0.537,0.1,0.634,0.864,147.35
I000016,U0884,S0453,4,0,0,4,Mobile,758,45969.36153,4.8,0,49,Female,Hip-Hop,English,Song_0453,Artist_080,Lo-Fi,Tamil,252,71,0.695,0.471,-9.96,0.073,0.775,0.386,0.535,0.893,153.45
I000017,U0935,S0087,4,1,0,4,Mobile,86,45888.27619,6.8,1,21,Male,Pop,Hindi,Song_0087,Artist_063,Indie,English,165,19,0.537,0.708,-3.92,0.214,0.826,0.024,0.108,0.797,153.02
I000018,U0063,S0359,2,1,0,3,Mobile,403,45877.03728,5.1,0,19,Male,Indie,Telugu,Song_0359,Artist_066,R&B,Telugu,215,17,0.28,0.498,-3.45,0.066,0.693,0.092,0.123,0.365,140.86
I000019,U0560,S0183,6,1,0,5,Desktop,886,46146.00109,8.5,1,50,Male,Rock,Telugu,Song_0183,Artist_059,Classical,Telugu,357,99,0.562,0.926,-7.1,0.099,0.603,0.39,0.773,0.805,135.68
I000020,U0087,S0197,5,0,0,3,Tablet,472,45864.00226,4.6,0,44,Male,Hip-Hop,English,Song_0197,Artist_096,Electronic,Tamil,263,56,0.621,0.722,-4.27,0.036,0.22,0.5,0.236,0.718,152.69
I000021,U0304,S0244,3,1,0,5,Tablet,207,45962.81681,7,1,48,Female,Pop,English,Song_0244,Artist_062,R&B,Tamil,258,1,0.219,0.468,-4.87,0.24,0.696,0.886,0.789,0.869,179.32
I000022,U0061,S0328,5,1,0,4,Mobile,285,46157.06549,7.3,1,21,Female,Rock,Hindi,Song_0328,Artist_020,Jazz,Telugu,303,52,0.353,0.551,-11.53,0.143,0.016,0.852,0.695,0.702,182.41
I000023,U0396,S0465,5,0,0,1,Desktop,107,46243.28553,3.2,0,52,Male,Indie,English,Song_0465,Artist_045,Classical,English,279,88,0.702,0.819,-8.31,0.139,0.649,0.011,0.094,0.406,148.48
I000024,U0334,S0385,3,0,0,4,Mobile,879,46051.34463,4.3,0,39,Female,Lo-Fi,English,Song_0385,Artist_021,Rock,English,354,6,0.943,0.533,-2.36,0.111,0.825,0.031,0.222,0.216,155.2
I000025,U0952,S0118,5,1,0,4,Mobile,325,46108.34147,7.3,1,18,Female,Indie,Spanish,Song_0118,Artist_025,R&B,Hindi,176,2,0.763,0.785,-9.65,0.148,0.483,0.234,0.358,0.785,87.27
I000026,U0786,S0498,4,0,0,4,Mobile,798,46016.36334,4.8,0,20,Female,Indie,Telugu,Song_0498,Artist_014,Indie,English,236,76,0.223,0.633,-12.65,0.122,0.42,0.25,0.641,0.658,114.39
I000027,U0411,S0396,4,1,1,3,Mobile,246,45783.47782,4.1,0,28,Female,Rock,English,Song_0396,Artist_072,Lo-Fi,Telugu,197,20,0.731,0.948,-4.51,0.04,0.226,0.584,0.573,0.804,129.34
I000028,U0284,S0419,2,1,1,5,Mobile,324,46011.72679,4.5,0,50,Female,Lo-Fi,Hindi,Song_0419,Artist_090,Country,English,280,52,0.469,0.733,-12.56,0.118,0.65,0.628,0.402,0.553,102.57
I000029,U0466,S0372,5,1,0,3,Mobile,559,46122.93137,6.6,0,34,Other,Rock,English,Song_0372,Artist_052,Classical,Telugu,195,100,0.892,0.89,-13.52,0.143,0.429,0.723,0.606,0.424,144.17
I000030,U0080,S0462,4,1,0,2,Tablet,201,46152.04572,5.4,0,60,Female,Classical,English,Song_0462,Artist_038,Indie,English,231,30,0.32,0.237,-7.31,0.163,0.232,0.147,0.26,0.695,162.34
I000031,U0692,S0496,3,0,0,5,Tablet,175,46117.82846,5,0,25,Male,Country,English,Song_0496,Artist_004,Pop,English,316,27,0.666,0.586,-11.3,0.094,0.829,0.422,0.461,0.509,94.01
I000032,U0784,S0082,4,1,0,3,Web,232,45967.072,6.1,0,35,Male,Rock,English,Song_0082,Artist_085,Jazz,Hindi,311,68,0.547,0.851,-6.02,0.109,0.805,0.528,0.558,0.229,146.03
I000033,U0077,S0458,4,1,0,3,Mobile,354,45692.35502,6.1,0,55,Male,Hip-Hop,English,Song_0458,Artist_017,Jazz,English,255,45,0.835,0.494,-13.62,0.278,0.861,0.153,0.255,0.212,162.6
I000034,U0954,S0247,3,1,1,3,Web,463,45786.63002,3.6,0,21,Female,Pop,Hindi,Song_0247,Artist_095,Rock,Tamil,191,90,0.672,0.65,-11.28,0.234,0.361,0.097,0.646,0.719,164.39
I000035,U0733,S0463,5,1,0,3,Mobile,68,46055.78968,6.6,0,28,Other,Lo-Fi,English,Song_0463,Artist_081,Jazz,Hindi,346,76,0.689,0.708,-5.65,0.252,0.696,0.112,0.461,0.872,113.14
I000036,U0905,S0234,1,1,0,3,Mobile,545,46221.54374,4.6,0,26,Male,Indie,Hindi,Song_0234,Artist_097,Pop,English,317,41,0.591,0.179,-14.26,0.213,0.8,0.016,0.47,0.272,118.43
I000037,U0794,S0417,2,1,1,3,Tablet,215,46012.27878,3.1,0,38,Male,Electronic,Telugu,Song_0417,Artist_076,Lo-Fi,English,158,55,0.692,0.394,-11.69,0.271,0.148,0.747,0.048,0.636,172.96
I000038,U0540,S0467,5,1,0,5,Mobile,666,46177.37734,8,1,45,Female,R&B,Hindi,Song_0467,Artist_035,Rock,Telugu,230,73,0.551,0.871,-4.11,0.054,0.225,0.041,0.173,0.612,165.98
I000039,U0361,S0482,3,0,1,5,Mobile,22,46054.54477,3,0,48,Female,Rock,Spanish,Song_0482,Artist_049,Jazz,Tamil,288,75,0.61,0.854,-12.06,0.095,0.282,0.759,0.214,0.156,107.64
I000040,U0077,S0365,6,0,0,1,Mobile,635,46191.91301,3.7,0,55,Male,Hip-Hop,English,Song_0365,Artist_049,R&B,Telugu,230,52,0.467,0.565,-3.9,0.215,0.94,0.408,0.595,0.179,168.14
I000041,U0509,S0153,4,1,0,3,Desktop,430,46225.21704,6.1,0,49,Female,Rock,English,Song_0153,Artist_052,R&B,English,207,26,0.537,0.899,-13.5,0.093,0.796,0.34,0.33,0.277,80.24
I000042,U0164,S0272,7,1,0,5,Desktop,401,46150.07875,9,1,43,Male,Country,Hindi,Song_0272,Artist_083,Lo-Fi,Telugu,175,31,0.736,0.708,-12.43,0.204,0.029,0.605,0.621,0.222,126.47
I000043,U0009,S0392,4,1,0,4,Web,558,46218.51053,6.8,1,38,Male,Classical,English,Song_0392,Artist_040,Hip-Hop,Telugu,272,92,0.327,0.707,-8.35,0.055,0.452,0.734,0.682,0.68,166.94
I000044,U0175,S0035,4,1,0,3,Mobile,423,45722.02338,6.1,0,16,Female,Rock,Telugu,Song_0035,Artist_031,Country,Tamil,187,27,0.283,0.254,-13.37,0.202,0.297,0.612,0.616,0.068,99.69
I000045,U0462,S0213,4,1,0,5,Tablet,505,45813.31149,7.5,1,51,Female,Classical,English,Song_0213,Artist_074,Lo-Fi,English,190,95,0.927,0.387,-5.96,0.232,0.055,0.207,0.597,0.145,89.21
I000046,U0307,S0211,3,1,0,5,Mobile,163,46165.04242,7,1,37,Male,Hip-Hop,Hindi,Song_0211,Artist_073,Rock,English,266,12,0.415,0.347,-10.37,0.298,0.428,0.216,0.268,0.402,145.77
I000047,U0588,S0430,4,0,0,5,Tablet,193,45911.09448,5.5,0,55,Male,Hip-Hop,Telugu,Song_0430,Artist_058,Electronic,Hindi,221,81,0.601,0.649,-7.66,0.133,0.804,0.714,0.15,0.419,62.05
I000048,U0245,S0139,2,1,1,2,Tablet,597,45927.57797,2.4,0,54,Female,Indie,Telugu,Song_0139,Artist_006,Classical,Telugu,306,50,0.69,0.705,-12.28,0.041,0.713,0.245,0.233,0.607,95.89
I000049,U0122,S0189,6,1,0,5,Mobile,454,46239.25538,8.5,1,37,Female,Lo-Fi,Spanish,Song_0189,Artist_089,Electronic,Spanish,177,78,0.374,0.613,-6.47,0.088,0.268,0.738,0.272,0.915,169.62
I000050,U0185,S0300,3,0,1,4,Mobile,154,46165.56781,2.3,0,52,Male,Hip-Hop,English,Song_0300,Artist_028,Jazz,Telugu,267,56,0.804,0.425,-14.44,0.131,0.261,0.051,0.337,0.058,121.94
I000051,U0032,S0395,1,1,0,3,Desktop,851,45884.71185,4.6,0,43,Female,R&B,Hindi,Song_0395,Artist_052,Electronic,Telugu,220,87,0.817,0.843,-7.16,0.028,0.878,0.797,0.442,0.121,148.57
I000052,U0998,S0252,10,0,0,4,Web,219,46116.29493,7.8,0,52,Female,R&B,English,Song_0252,Artist_085,Indie,English,222,46,0.787,0.317,-4.37,0.275,0.048,0.51,0.215,0.548,169.65
I000053,U0963,S0395,4,1,0,3,Web,670,45868.39389,6.1,0,17,Male,Jazz,English,Song_0395,Artist_052,Electronic,Telugu,220,87,0.817,0.843,-7.16,0.028,0.878,0.797,0.442,0.121,148.57
I000054,U0762,S0150,6,0,0,5,Desktop,350,46049.70134,6.5,0,49,Male,Pop,English,Song_0150,Artist_093,Electronic,Telugu,300,65,0.589,0.163,-10.33,0.021,0.412,0.739,0.509,0.166,106.47
I000055,U0569,S0341,2,1,0,4,Mobile,472,45763.81625,5.8,1,57,Male,Pop,Tamil,Song_0341,Artist_076,Pop,English,352,41,0.648,0.798,-7.31,0.174,0.061,0.836,0.664,0.64,163.09
I000056,U0310,S0219,5,1,0,5,Mobile,261,45763.10359,8,1,53,Female,Indie,English,Song_0219,Artist_033,Hip-Hop,Hindi,246,76,0.785,0.829,-5,0.203,0.227,0.673,0.312,0.807,67.15
I000057,U0372,S0082,5,1,0,2,Tablet,743,45811.74459,5.9,0,22,Female,Indie,Hindi,Song_0082,Artist_085,Jazz,Hindi,311,68,0.547,0.851,-6.02,0.109,0.805,0.528,0.558,0.229,146.03
I000058,U0656,S0190,4,1,0,4,Mobile,779,45716.16362,6.8,1,38,Male,R&B,English,Song_0190,Artist_061,Electronic,English,358,75,0.518,0.962,-10.57,0.279,0.699,0.188,0.186,0.389,123.65
I000059,U0830,S0234,5,0,0,5,Web,385,46212.13402,6,0,41,Male,Classical,English,Song_0234,Artist_097,Pop,English,317,41,0.591,0.179,-14.26,0.213,0.8,0.016,0.47,0.272,118.43
I000060,U0596,S0176,3,1,0,3,Mobile,464,46234.30992,5.6,0,53,Female,Jazz,English,Song_0176,Artist_058,Rock,Telugu,264,9,0.554,0.811,-14.66,0.15,0.25,0.696,0.794,0.322,92.3
I000061,U0992,S0232,4,1,1,4,Mobile,432,45904.18976,4.8,0,56,Male,Jazz,English,Song_0232,Artist_015,R&B,English,261,4,0.878,0.76,-13.87,0.079,0.288,0.113,0.284,0.705,120.78
I000062,U0056,S0358,6,1,0,3,Mobile,187,45968.37889,7.1,0,32,Male,Pop,English,Song_0358,Artist_089,Hip-Hop,English,317,9,0.214,0.444,-12.69,0.215,0.495,0.818,0.375,0.631,126.31
I000063,U0791,S0478,3,1,0,3,Web,292,45731.14388,5.6,0,58,Male,Lo-Fi,Hindi,Song_0478,Artist_006,Electronic,English,289,82,0.738,0.943,-5.44,0.069,0.393,0.803,0.353,0.595,122.83
I000064,U0273,S0063,4,1,0,3,Mobile,138,45699.72675,6.1,0,39,Female,R&B,Hindi,Song_0063,Artist_089,Lo-Fi,Hindi,203,88,0.932,0.918,-11.72,0.171,0.434,0.583,0.071,0.157,152.85
I000065,U0464,S0435,3,1,0,3,Mobile,666,45770.71623,5.6,0,46,Female,Classical,Telugu,Song_0435,Artist_052,Hip-Hop,Tamil,163,63,0.214,0.413,-4.5,0.022,0.442,0.851,0.508,0.891,98.14
I000066,U0678,S0429,5,0,0,5,Web,386,45768.25385,6,0,32,Female,R&B,English,Song_0429,Artist_095,Jazz,Hindi,315,73,0.527,0.451,-4.28,0.154,0.486,0.682,0.432,0.869,137.19
I000067,U0456,S0495,2,1,0,1,Mobile,79,46220.92692,3.7,0,48,Male,Country,English,Song_0495,Artist_018,Rock,Telugu,199,86,0.651,0.712,-10.73,0.104,0.584,0.484,0.736,0.774,82.34
I000068,U0979,S0237,2,0,0,3,Desktop,273,45710.64064,3.1,0,29,Male,Country,English,Song_0237,Artist_008,Electronic,English,234,79,0.931,0.56,-6.38,0.107,0.61,0.666,0.785,0.573,151.83
I000069,U0670,S0033,4,1,0,5,Mobile,585,45830.97794,7.5,1,41,Male,Country,English,Song_0033,Artist_022,Classical,Hindi,271,48,0.293,0.925,-12.33,0.036,0.344,0.659,0.798,0.076,66.84
I000070,U0249,S0213,3,1,0,4,Mobile,825,45977.45259,6.3,1,26,Male,Electronic,Hindi,Song_0213,Artist_074,Lo-Fi,English,190,95,0.927,0.387,-5.96,0.232,0.055,0.207,0.597,0.145,89.21
I000071,U0698,S0060,4,0,0,4,Mobile,760,46095.53159,4.8,0,33,Female,Classical,English,Song_0060,Artist_009,Rock,Hindi,165,35,0.836,0.677,-3.64,0.232,0.043,0.8,0.545,0.391,79.33
I000072,U0994,S0379,6,0,0,5,Desktop,816,45923.17353,6.5,0,29,Male,Hip-Hop,English,Song_0379,Artist_070,Hip-Hop,Hindi,227,93,0.37,0.709,-3.1,0.295,0.577,0.117,0.599,0.97,69.09
I000073,U0078,S0002,3,0,0,5,Tablet,38,45933.55704,5,0,36,Male,R&B,Telugu,Song_0002,Artist_003,Classical,Hindi,169,26,0.785,0.196,-12.74,0.023,0.482,0.672,0.279,0.918,83.17
I000074,U0534,S0397,2,1,0,1,Mobile,412,45700.20515,3.7,0,27,Male,R&B,English,Song_0397,Artist_075,Classical,English,168,54,0.434,0.793,-12.96,0.205,0.715,0.147,0.291,0.958,126.87
I000075,U0108,S0450,5,1,1,2,Mobile,212,45726.07203,3.9,0,56,Female,Indie,English,Song_0450,Artist_022,R&B,English,264,69,0.654,0.873,-2.49,0.047,0.379,0.813,0.678,0.891,107.37
I000076,U0273,S0057,4,0,0,4,Mobile,222,45722.37228,4.8,0,39,Female,R&B,Hindi,Song_0057,Artist_053,Classical,English,278,33,0.417,0.977,-6.34,0.034,0.499,0.102,0.178,0.791,134.89
I000077,U0764,S0427,7,1,0,4,Mobile,807,46109.66973,8.3,1,49,Female,Rock,Tamil,Song_0427,Artist_094,Rock,English,270,77,0.272,0.568,-4.36,0.092,0.941,0.688,0.247,0.762,99.63
I000078,U0015,S0301,4,1,0,3,Desktop,511,46136.17823,6.1,0,39,Male,R&B,Telugu,Song_0301,Artist_001,Rock,Telugu,156,68,0.37,0.75,-11.61,0.111,0.884,0.781,0.726,0.094,102.34
I000079,U0370,S0287,5,0,0,3,Mobile,836,46089.65847,4.6,0,39,Other,R&B,English,Song_0287,Artist_036,Lo-Fi,Telugu,326,68,0.255,0.524,-14.05,0.195,0.04,0.018,0.04,0.308,67.32
I000080,U0304,S0138,2,1,0,5,Tablet,296,45908.25618,6.5,1,48,Female,Pop,English,Song_0138,Artist_057,Electronic,English,227,53,0.902,0.582,-5.29,0.273,0.526,0.723,0.402,0.624,143.5
I000081,U0672,S0279,7,1,0,4,Mobile,343,46118.58771,8.3,1,43,Female,Lo-Fi,Spanish,Song_0279,Artist_066,Electronic,English,330,88,0.683,0.976,-14.15,0.225,0.688,0.114,0.334,0.346,179.27
I000082,U0205,S0214,5,1,0,5,Web,503,45844.70212,8,1,52,Male,R&B,Hindi,Song_0214,Artist_095,Indie,English,322,18,0.464,0.75,-6.99,0.147,0.809,0.505,0.493,0.609,154.49
I000083,U0981,S0239,5,1,0,5,Tablet,160,45932.60477,8,1,24,Female,Pop,Hindi,Song_0239,Artist_027,Indie,English,295,42,0.548,0.182,-9.5,0.023,0.881,0.744,0.424,0.649,81.47
I000084,U0113,S0285,5,1,0,4,Web,152,46110.53718,7.3,1,27,Male,Lo-Fi,Telugu,Song_0285,Artist_049,Rock,Spanish,310,15,0.451,0.888,-4.65,0.143,0.308,0.844,0.747,0.254,138.03
I000085,U0680,S0481,5,1,0,5,Web,355,46150.20287,8,1,48,Male,Jazz,Telugu,Song_0481,Artist_058,Hip-Hop,Tamil,157,88,0.54,0.324,-10.19,0.086,0.395,0.9,0.38,0.225,112.04
I000086,U0865,S0031,2,1,0,4,Mobile,218,45968.32495,5.8,1,54,Male,Rock,Hindi,Song_0031,Artist_088,Country,Tamil,261,96,0.335,0.539,-5.27,0.273,0.094,0.725,0.433,0.448,71.29
I000087,U0253,S0206,3,1,1,1,Mobile,315,46073.97326,2.2,0,46,Female,Electronic,English,Song_0206,Artist_055,Classical,Hindi,223,93,0.844,0.563,-9.31,0.029,0.47,0.403,0.65,0.732,114.75
I000088,U0441,S0458,6,0,0,3,Web,318,46185.93515,5.1,0,52,Female,Jazz,Telugu,Song_0458,Artist_017,Jazz,English,255,45,0.835,0.494,-13.62,0.278,0.861,0.153,0.255,0.212,162.6
I000089,U0186,S0274,3,0,1,3,Mobile,583,45967.35067,1.6,0,48,Female,Classical,Telugu,Song_0274,Artist_017,Indie,Hindi,303,48,0.738,0.752,-9.69,0.099,0.545,0.806,0.415,0.811,122.22
I000090,U0859,S0011,6,1,0,1,Tablet,66,45736.92168,5.7,0,50,Female,Electronic,English,Song_0011,Artist_008,Indie,Hindi,324,6,0.71,0.151,-9.45,0.205,0.688,0.514,0.766,0.222,69.17
I000091,U0227,S0359,3,1,1,5,Mobile,47,46110.88069,5,0,48,Male,Hip-Hop,Telugu,Song_0359,Artist_066,R&B,Telugu,215,17,0.28,0.498,-3.45,0.066,0.693,0.092,0.123,0.365,140.86
I000092,U0528,S0047,1,1,0,5,Desktop,460,46163.35006,6,1,54,Female,Rock,English,Song_0047,Artist_044,R&B,Hindi,184,87,0.7,0.548,-5.51,0.204,0.506,0.57,0.237,0.056,189.82
I000093,U0668,S0003,4,0,1,5,Mobile,433,45832.40175,3.5,0,43,Female,Country,Spanish,Song_0003,Artist_037,Hip-Hop,English,304,38,0.384,0.907,-6.03,0.041,0.741,0.084,0.482,0.923,188.24
I000094,U0354,S0130,5,1,1,4,Web,596,45962.8291,5.3,0,17,Male,Country,Hindi,Song_0130,Artist_098,Hip-Hop,English,204,15,0.548,0.371,-10.46,0.209,0.538,0.607,0.776,0.16,136.38
I000095,U0623,S0438,2,1,1,4,Tablet,111,45977.70848,3.8,0,43,Female,Hip-Hop,Hindi,Song_0438,Artist_001,Electronic,Hindi,289,59,0.767,0.616,-8.04,0.19,0.597,0.071,0.615,0.781,62.88
I000096,U0001,S0072,2,1,0,5,Tablet,194,45799.75382,6.5,1,54,Female,Jazz,English,Song_0072,Artist_063,Electronic,English,166,11,0.758,0.964,-14.36,0.088,0.849,0.154,0.72,0.421,175.38
I000097,U0553,S0159,5,1,0,5,Mobile,318,45839.51295,8,1,22,Male,Classical,English,Song_0159,Artist_022,Indie,Hindi,254,91,0.609,0.816,-14.2,0.063,0.787,0.731,0.766,0.703,138.33
I000098,U0560,S0392,4,1,0,5,Mobile,89,45667.53221,7.5,1,50,Male,Rock,Telugu,Song_0392,Artist_040,Hip-Hop,Telugu,272,92,0.327,0.707,-8.35,0.055,0.452,0.734,0.682,0.68,166.94
I000099,U0927,S0427,4,0,0,4,Mobile,151,46186.42301,4.8,0,17,Male,Country,Telugu,Song_0427,Artist_094,Rock,English,270,77,0.272,0.568,-4.36,0.092,0.941,0.688,0.247,0.762,99.63
I000100,U0420,S0432,4,0,0,3,Mobile,122,45817.21191,4.1,0,41,Female,Jazz,Telugu,Song_0432,Artist_056,Pop,English,274,19,0.907,0.888,-13.7,0.144,0.4,0.887,0.496,0.373,145.98
I000101,U0620,S0130,3,1,0,2,Mobile,280,46144.05251,4.9,0,28,Female,Lo-Fi,English,Song_0130,Artist_098,Hip-Hop,English,204,15,0.548,0.371,-10.46,0.209,0.538,0.607,0.776,0.16,136.38
I000102,U0161,S0022,3,1,0,4,Mobile,291,45689.84113,6.3,1,57,Female,R&B,English,Song_0022,Artist_096,R&B,English,352,57,0.297,0.679,-7.87,0.211,0.598,0.292,0.274,0.197,83.45
I000103,U0161,S0380,4,1,0,4,Web,756,46054.07662,6.8,1,57,Female,R&B,English,Song_0380,Artist_047,Pop,Tamil,165,43,0.261,0.972,-8.95,0.279,0.536,0.295,0.352,0.294,143.2
I000104,U0871,S0389,3,1,0,5,Mobile,578,46013.93122,7,1,40,Male,Indie,Spanish,Song_0389,Artist_023,Hip-Hop,Hindi,167,58,0.883,0.433,-7.06,0.145,0.8,0.432,0.231,0.94,158.21
I000105,U0128,S0135,5,0,0,5,Web,245,46114.90788,6,0,29,Male,R&B,English,Song_0135,Artist_072,Jazz,English,187,52,0.437,0.321,-13.82,0.219,0.733,0.47,0.067,0.9,166.93
I000106,U0722,S0020,3,0,0,1,Mobile,715,45790.57352,2.2,0,52,Female,Country,Hindi,Song_0020,Artist_036,Jazz,Tamil,179,70,0.653,0.554,-3.06,0.168,0.658,0.374,0.652,0.54,128.45
I000107,U0151,S0220,4,1,0,5,Mobile,27,45785.66965,7.5,1,30,Male,Pop,English,Song_0220,Artist_057,Lo-Fi,Telugu,294,98,0.746,0.717,-3.28,0.097,0.701,0.102,0.34,0.533,84.36
I000108,U0444,S0333,2,1,0,4,Mobile,248,45720.23376,5.8,1,29,Female,R&B,Spanish,Song_0333,Artist_024,R&B,Tamil,175,68,0.626,0.725,-9.3,0.264,0.421,0.834,0.582,0.79,144.2
I000109,U0767,S0130,5,1,0,5,Desktop,677,46082.35968,8,1,30,Male,Electronic,Tamil,Song_0130,Artist_098,Hip-Hop,English,204,15,0.548,0.371,-10.46,0.209,0.538,0.607,0.776,0.16,136.38
I000110,U0471,S0032,3,1,0,3,Desktop,626,45791.85366,5.6,0,19,Male,Indie,Tamil,Song_0032,Artist_087,Lo-Fi,English,295,76,0.408,0.858,-12.29,0.04,0.418,0.602,0.295,0.232,151.22
I000111,U0463,S0090,5,1,0,5,Tablet,503,46017.16997,8,1,49,Male,Electronic,Hindi,Song_0090,Artist_038,Classical,Hindi,296,54,0.21,0.329,-2.69,0.136,0.666,0.842,0.772,0.446,168.59
I000112,U0730,S0259,4,1,0,3,Desktop,277,45882.56072,6.1,0,24,Female,Indie,English,Song_0259,Artist_050,Jazz,English,269,23,0.297,0.243,-11.67,0.296,0.131,0.622,0.419,0.788,138.39
I000113,U0030,S0425,5,1,0,5,Tablet,145,45819.75991,8,1,42,Male,R&B,English,Song_0425,Artist_054,Indie,English,221,87,0.359,0.286,-8.04,0.208,0.309,0.112,0.455,0.11,99.7
I000114,U0473,S0298,6,0,0,5,Mobile,298,45856.88414,6.5,0,39,Female,Country,English,Song_0298,Artist_099,Electronic,Telugu,249,55,0.364,0.882,-8.2,0.203,0.501,0.178,0.487,0.599,126.72
I000115,U0557,S0333,6,0,1,1,Mobile,731,46032.99043,1.7,0,34,Male,Hip-Hop,Tamil,Song_0333,Artist_024,R&B,Tamil,175,68,0.626,0.725,-9.3,0.264,0.421,0.834,0.582,0.79,144.2
I000116,U0080,S0249,4,0,1,4,Web,601,46149.59249,2.8,0,60,Female,Classical,English,Song_0249,Artist_097,Country,Tamil,194,91,0.611,0.246,-10.51,0.154,0.392,0.755,0.23,0.691,90.36
I000117,U0039,S0469,3,0,0,4,Mobile,92,46137.44637,4.3,0,36,Male,Classical,English,Song_0469,Artist_072,Indie,English,247,51,0.335,0.729,-8.4,0.209,0.041,0.785,0.794,0.352,140.99
I000118,U0240,S0173,3,1,0,5,Web,367,45985.19823,7,1,47,Female,R&B,English,Song_0173,Artist_077,Lo-Fi,English,358,90,0.502,0.448,-8.71,0.105,0.481,0.635,0.305,0.154,103.93
I000119,U0557,S0357,2,1,0,5,Mobile,564,46154.33229,6.5,1,34,Male,Hip-Hop,Tamil,Song_0357,Artist_001,Electronic,English,197,49,0.243,0.282,-5.79,0.06,0.54,0.228,0.4,0.193,154.46
I000120,U0590,S0471,4,1,0,2,Desktop,347,45765.94023,5.4,0,24,Male,Hip-Hop,English,Song_0471,Artist_015,Jazz,English,285,14,0.888,0.979,-3.88,0.176,0.121,0.393,0.077,0.428,65.65
I000121,U0337,S0455,4,0,0,4,Web,536,46026.85877,4.8,0,50,Male,Lo-Fi,English,Song_0455,Artist_062,Jazz,Telugu,319,39,0.469,0.5,-2.84,0.043,0.507,0.51,0.631,0.178,179.13
