song_id,song_name,artist,genre,language,duration_sec,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo_bpm
S0079,Song_0079,Artist_020,Country,English,220,13,0.876,0.668,-12,0.102,0.913,0.9,0.679,0.249,99.63
S0080,Song_0080,Artist_090,Jazz,Spanish,257,40,0.88,0.261,-6.09,0.125,0.311,0.22,0.187,0.367,188.72
S0081,Song_0081,Artist_091,Hip-Hop,Hindi,228,89,0.526,0.246,-2.24,0.163,0.947,0.687,0.602,0.78,69.86
S0082,Song_0082,Artist_085,Jazz,Hindi,311,68,0.547,0.851,-6.02,0.109,0.805,0.528,0.558,0.229,146.03
S0083,Song_0083,Artist_082,Pop,English,195,42,0.437,0.266,-3.52,0.291,0.584,0.235,0.614,0.644,118.27
S0084,Song_0084,Artist_077,Electronic,Hindi,345,19,0.759,0.582,-2.67,0.281,0.048,0.884,0.44,0.659,118.06
S0085,Song_0085,Artist_080,Jazz,Hindi,355,82,0.48,0.181,-8.67,0.264,0.857,0.808,0.522,0.937,119.49
S0086,Song_0086,Artist_073,Classical,English,227,94,0.409,0.217,-5.87,0.138,0.534,0.116,0.764,0.771,93.63
S0087,Song_0087,Artist_063,Indie,English,165,19,0.537,0.708,-3.92,0.214,0.826,0.024,0.108,0.797,153.02
S0088,Song_0088,Artist_076,Hip-Hop,Hindi,220,58,0.271,0.722,-10.36,0.273,0.794,0.619,0.268,0.544,153.8
S0089,Song_0089,Artist_044,Lo-Fi,Telugu,245,23,0.782,0.433,-11.6,0.258,0.793,0.544,0.501,0.224,96.71
S0090,Song_0090,Artist_038,Classical,Hindi,296,54,0.21,0.329,-2.69,0.136,0.666,0.842,0.772,0.446,168.59
S0091,Song_0091,Artist_083,Pop,English,151,80,0.703,0.825,-5.56,0.051,0.284,0.211,0.104,0.561,101.19
S0092,Song_0092,Artist_060,Rock,Hindi,159,65,0.343,0.33,-12.14,0.041,0.326,0.076,0.047,0.681,154.26
S0093,Song_0093,Artist_071,Pop,English,327,12,0.381,0.6,-9.16,0.182,0.3,0.233,0.073,0.615,75.73
S0094,Song_0094,Artist_099,Lo-Fi,English,274,24,0.696,0.954,-4.65,0.2,0.029,0.017,0.07,0.416,81.93
S0095,Song_0095,Artist_048,Lo-Fi,English,230,34,0.974,0.273,-7.89,0.258,0.558,0.032,0.729,0.297,101.05
S0096,Song_0096,Artist_018,Classical,English,289,53,0.807,0.931,-6.55,0.102,0.667,0.823,0.585,0.206,137.2
S0097,Song_0097,Artist_016,Indie,English,219,8,0.376,0.302,-5.2,0.067,0.813,0.317,0.551,0.695,143.92
S0098,Song_0098,Artist_055,Hip-Hop,English,299,18,0.337,0.621,-6.91,0.126,0.142,0.37,0.432,0.65,111.53
S0099,Song_0099,Artist_039,R&B,English,181,57,0.876,0.463,-7.98,0.119,0.522,0.017,0.632,0.689,70.12
S0100,Song_0100,Artist_068,Electronic,English,254,5,0.546,0.951,-5.26,0.057,0.018,0.243,0.15,0.396,108.57
S0101,Song_0101,Artist_059,Classical,Hindi,233,26,0.307,0.377,-5.54,0.208,0.099,0.724,0.332,0.294,149.54
S0102,Song_0102,Artist_089,Lo-Fi,Hindi,278,30,0.873,0.482,-6.81,0.162,0.061,0.554,0.407,0.757,147.23
S0103,Song_0103,Artist_096,Rock,English,331,54,0.837,0.966,-10.32,0.222,0.692,0.678,0.115,0.769,80.83
S0104,Song_0104,Artist_062,Country,Tamil,207,13,0.967,0.595,-9.72,0.119,0.086,0.402,0.353,0.474,61.01
S0105,Song_0105,Artist_013,Lo-Fi,English,347,83,0.91,0.567,-2.38,0.111,0.683,0.279,0.274,0.619,157.89
S0106,Song_0106,Artist_081,Indie,Hindi,360,29,0.864,0.364,-13.54,0.152,0.245,0.435,0.057,0.397,73.83
S0107,Song_0107,Artist_006,Indie,English,295,3,0.241,0.732,-11.51,0.266,0.835,0.291,0.135,0.703,70.71
S0108,Song_0108,Artist_083,Lo-Fi,English,283,90,0.281,0.162,-8.6,0.031,0.774,0.755,0.618,0.827,60.35
S0109,Song_0109,Artist_077,Indie,Hindi,194,58,0.644,0.191,-4.12,0.245,0.91,0.268,0.044,0.69,116.24
S0110,Song_0110,Artist_060,Classical,Hindi,246,76,0.615,0.647,-12.87,0.123,0.841,0.594,0.749,0.527,125.42
S0111,Song_0111,Artist_090,Lo-Fi,Tamil,172,2,0.557,0.434,-11.4,0.259,0.887,0.123,0.097,0.477,142.9
S0112,Song_0112,Artist_014,Lo-Fi,Hindi,172,75,0.509,0.941,-14.14,0.245,0.817,0.618,0.645,0.647,98.49
S0113,Song_0113,Artist_095,Hip-Hop,Spanish,303,28,0.536,0.9,-5.82,0.118,0.662,0.822,0.722,0.682,152.36
S0114,Song_0114,Artist_054,Electronic,English,354,82,0.644,0.742,-11.9,0.214,0.17,0.548,0.755,0.57,82.01
S0115,Song_0115,Artist_004,Rock,English,284,77,0.202,0.829,-9.95,0.065,0.265,0.504,0.698,0.631,168.16
S0116,Song_0116,Artist_039,Indie,English,228,86,0.403,0.704,-9.23,0.271,0.21,0.865,0.251,0.14,134.34
S0117,Song_0117,Artist_072,Hip-Hop,English,193,76,0.604,0.254,-3.41,0.133,0.577,0.565,0.286,0.935,135.91
S0118,Song_0118,Artist_025,R&B,Hindi,176,2,0.763,0.785,-9.65,0.148,0.483,0.234,0.358,0.785,87.27
S0119,Song_0119,Artist_077,R&B,Hindi,175,7,0.336,0.324,-13.11,0.218,0.825,0.263,0.137,0.398,69.63
S0120,Song_0120,Artist_032,Jazz,English,246,26,0.627,0.418,-8.18,0.25,0.906,0.635,0.047,0.573,120.41
S0121,Song_0121,Artist_059,Classical,Spanish,356,90,0.757,0.83,-2.48,0.086,0.391,0.662,0.699,0.094,140.03
S0122,Song_0122,Artist_063,Classical,Tamil,185,88,0.547,0.595,-7.1,0.205,0.486,0.273,0.457,0.088,72.36
S0123,Song_0123,Artist_038,Pop,English,258,76,0.221,0.864,-2.22,0.13,0.923,0.311,0.499,0.283,183.57
S0124,Song_0124,Artist_092,Rock,English,204,16,0.55,0.327,-4.07,0.123,0.27,0.892,0.744,0.691,187.45
S0125,Song_0125,Artist_053,Lo-Fi,English,341,23,0.431,0.654,-14.53,0.213,0.755,0.092,0.542,0.842,130.91
S0126,Song_0126,Artist_094,Indie,English,334,40,0.925,0.22,-6.44,0.128,0.222,0.364,0.562,0.57,183.51
S0127,Song_0127,Artist_067,Rock,English,218,60,0.297,0.684,-11.27,0.117,0.651,0.056,0.636,0.545,83.33
S0128,Song_0128,Artist_028,Jazz,Hindi,210,73,0.709,0.783,-7.72,0.254,0.248,0.739,0.12,0.424,63.3
S0129,Song_0129,Artist_003,Pop,English,279,32,0.241,0.635,-11.37,0.048,0.841,0.083,0.307,0.2,65.12
S0130,Song_0130,Artist_098,Hip-Hop,English,204,15,0.548,0.371,-10.46,0.209,0.538,0.607,0.776,0.16,136.38
S0131,Song_0131,Artist_080,Rock,Spanish,271,13,0.632,0.176,-3,0.09,0.185,0.051,0.741,0.757,68.01
S0132,Song_0132,Artist_022,Hip-Hop,Telugu,246,5,0.432,0.249,-12.31,0.024,0.221,0.606,0.711,0.913,184.61
S0133,Song_0133,Artist_096,R&B,Spanish,229,75,0.555,0.667,-3.64,0.067,0.474,0.759,0.378,0.476,78.45
S0134,Song_0134,Artist_038,Indie,English,236,74,0.328,0.926,-14.6,0.19,0.914,0.359,0.69,0.663,99.61
S0135,Song_0135,Artist_072,Jazz,English,187,52,0.437,0.321,-13.82,0.219,0.733,0.47,0.067,0.9,166.93
S0136,Song_0136,Artist_072,Lo-Fi,Hindi,268,77,0.684,0.76,-3.89,0.026,0.469,0.361,0.144,0.134,88.44
S0137,Song_0137,Artist_062,Indie,English,357,41,0.435,0.869,-6.8,0.03,0.327,0.27,0.349,0.767,91.59
S0138,Song_0138,Artist_057,Electronic,English,227,53,0.902,0.582,-5.29,0.273,0.526,0.723,0.402,0.624,143.5
S0139,Song_0139,Artist_006,Classical,Telugu,306,50,0.69,0.705,-12.28,0.041,0.713,0.245,0.233,0.607,95.89
S0140,Song_0140,Artist_078,Jazz,Hindi,303,15,0.542,0.826,-8.02,0.27,0.747,0.651,0.304,0.322,88.27
S0141,Song_0141,Artist_032,Rock,English,184,7,0.23,0.366,-5.42,0.084,0.315,0.186,0.155,0.686,93.04
S0142,Song_0142,Artist_099,Indie,Hindi,228,40,0.59,0.396,-6.84,0.227,0.688,0.225,0.407,0.789,123.78
S0143,Song_0143,Artist_010,Country,English,216,28,0.797,0.151,-8.87,0.107,0.628,0.303,0.641,0.155,185.59
S0144,Song_0144,Artist_003,Classical,English,236,32,0.407,0.949,-2.52,0.26,0.912,0.53,0.539,0.546,168.19
S0145,Song_0145,Artist_059,Classical,English,306,99,0.829,0.912,-6.21,0.216,0.885,0.409,0.113,0.144,97
S0146,Song_0146,Artist_076,Country,English,183,15,0.396,0.785,-3.2,0.133,0.752,0.671,0.405,0.861,107.24
S0147,Song_0147,Artist_049,Pop,English,246,100,0.843,0.216,-5.51,0.041,0.69,0.192,0.567,0.522,120.39
S0148,Song_0148,Artist_059,Pop,Spanish,318,85,0.267,0.521,-5.44,0.225,0.268,0.01,0.438,0.801,187.26
S0149,Song_0149,Artist_031,Country,Hindi,318,70,0.876,0.235,-13.96,0.193,0.805,0.699,0.332,0.392,82.41
S0150,Song_0150,Artist_093,Electronic,Telugu,300,65,0.589,0.163,-10.33,0.021,0.412,0.739,0.509,0.166,106.47
S0151,Song_0151,Artist_069,R&B,English,220,4,0.431,0.661,-3.84,0.023,0.266,0.054,0.776,0.089,154.83
S0152,Song_0152,Artist_062,Country,English,152,11,0.407,0.947,-11.98,0.246,0.371,0.55,0.103,0.312,185.31
S0153,Song_0153,Artist_052,R&B,English,207,26,0.537,0.899,-13.5,0.093,0.796,0.34,0.33,0.277,80.24
S0154,Song_0154,Artist_089,Indie,English,181,61,0.979,0.728,-10.76,0.198,0.15,0.715,0.343,0.571,89.56
S0155,Song_0155,Artist_041,Electronic,English,180,37,0.372,0.23,-12.13,0.147,0.439,0.787,0.474,0.07,89.34
S0156,Song_0156,Artist_031,Jazz,Telugu,231,23,0.281,0.378,-2.97,0.262,0.473,0.766,0.147,0.534,62.72
S0157,Song_0157,Artist_085,R&B,Telugu,192,93,0.656,0.416,-3.72,0.277,0.044,0.699,0.166,0.414,138.54
S0158,Song_0158,Artist_084,Classical,Hindi,284,85,0.581,0.783,-8.5,0.299,0.194,0.242,0.25,0.587,147.19
S0159,Song_0159,Artist_022,Indie,Hindi,254,91,0.609,0.816,-14.2,0.063,0.787,0.731,0.766,0.703,138.33
S0160,Song_0160,Artist_004,Classical,Spanish,150,40,0.72,0.47,-5.71,0.262,0.791,0.48,0.595,0.64,69.27
S0161,Song_0161,Artist_013,Electronic,English,210,77,0.408,0.497,-6.9,0.094,0.285,0.047,0.54,0.966,69
S0162,Song_0162,Artist_045,R&B,English,163,23,0.91,0.187,-2.38,0.185,0.832,0.411,0.659,0.179,87.35
S0163,Song_0163,Artist_042,Hip-Hop,English,329,16,0.54,0.39,-7.73,0.162,0.735,0.848,0.128,0.45,97.74
S0164,Song_0164,Artist_049,Electronic,Telugu,155,94,0.301,0.525,-10.63,0.025,0.403,0.799,0.692,0.445,162.25
S0165,Song_0165,Artist_020,Electronic,Spanish,252,61,0.779,0.247,-8.25,0.281,0.714,0.092,0.488,0.438,80.72
S0166,Song_0166,Artist_077,Hip-Hop,English,159,68,0.702,0.526,-2.27,0.042,0.914,0.67,0.288,0.667,65.73
S0167,Song_0167,Artist_081,Indie,Tamil,220,80,0.446,0.858,-5.95,0.213,0.441,0.725,0.658,0.506,111.22
S0168,Song_0168,Artist_054,R&B,Tamil,239,31,0.685,0.632,-6.26,0.24,0.234,0.244,0.648,0.531,114.13
S0169,Song_0169,Artist_036,R&B,English,307,53,0.371,0.216,-11.87,0.243,0.895,0.424,0.681,0.452,118.62
S0170,Song_0170,Artist_097,Classical,English,298,25,0.547,0.309,-5.33,0.058,0.578,0.64,0.119,0.972,167.5
S0171,Song_0171,Artist_001,Electronic,English,275,44,0.902,0.544,-5.25,0.145,0.109,0.395,0.776,0.913,72.74
S0172,Song_0172,Artist_015,Electronic,Spanish,337,12,0.304,0.45,-10.88,0.252,0.548,0.102,0.769,0.336,151.51
S0173,Song_0173,Artist_077,Lo-Fi,English,358,90,0.502,0.448,-8.71,0.105,0.481,0.635,0.305,0.154,103.93
S0174,Song_0174,Artist_017,Jazz,Telugu,246,97,0.84,0.589,-11.17,0.151,0.814,0.82,0.081,0.831,100.3
S0175,Song_0175,Artist_024,Electronic,English,223,92,0.956,0.635,-11.64,0.096,0.509,0.587,0.159,0.977,181.23
S0176,Song_0176,Artist_058,Rock,Telugu,264,9,0.554,0.811,-14.66,0.15,0.25,0.696,0.794,0.322,92.3
S0177,Song_0177,Artist_072,Jazz,English,340,12,0.595,0.433,-11.29,0.269,0.645,0.323,0.464,0.383,143.53
S0178,Song_0178,Artist_091,Rock,Hindi,319,69,0.646,0.819,-7.8,0.147,0.52,0.165,0.305,0.926,95.77
S0179,Song_0179,Artist_023,R&B,Tamil,200,54,0.927,0.431,-14.98,0.176,0.229,0.578,0.252,0.711,125.93
S0180,Song_0180,Artist_046,Jazz,Telugu,341,54,0.869,0.196,-11.32,0.133,0.549,0.295,0.228,0.325,162.22
S0181,Song_0181,Artist_072,Electronic,Tamil,353,28,0.333,0.61,-3.54,0.149,0.782,0.774,0.541,0.59,174.62
S0182,Song_0182,Artist_008,Hip-Hop,English,205,56,0.541,0.638,-7.28,0.024,0.037,0.11,0.353,0.928,169.03
S0183,Song_0183,Artist_059,Classical,Telugu,357,99,0.562,0.926,-7.1,0.099,0.603,0.39,0.773,0.805,135.68
S0184,Song_0184,Artist_090,Rock,English,190,69,0.815,0.753,-9.76,0.142,0.339,0.357,0.557,0.74,92.35
S0185,Song_0185,Artist_059,Jazz,English,181,98,0.67,0.912,-6.21,0.197,0.285,0.844,0.64,0.735,145.96
S0186,Song_0186,Artist_013,Electronic,Hindi,164,98,0.71,0.904,-12.53,0.146,0.379,0.138,0.255,0.216,152.29
S0187,Song_0187,Artist_039,Jazz,English,211,77,0.979,0.652,-4.36,0.115,0.332,0.009,0.091,0.817,61.39
S0188,Song_0188,Artist_028,Electronic,Hindi,304,58,0.258,0.588,-13.48,0.129,0.792,0.214,0.406,0.307,117.1
S0189,Song_0189,Artist_089,Electronic,Spanish,177,78,0.374,0.613,-6.47,0.088,0.268,0.738,0.272,0.915,169.62
S0190,Song_0190,Artist_061,Electronic,English,358,75,0.518,0.962,-10.57,0.279,0.699,0.188,0.186,0.389,123.65
S0191,Song_0191,Artist_016,Lo-Fi,Telugu,213,42,0.471,0.792,-5.28,0.166,0.098,0.217,0.764,0.848,100.48
S0192,Song_0192,Artist_002,Classical,English,336,38,0.217,0.238,-7.85,0.024,0.904,0.117,0.372,0.298,173.33
S0193,Song_0193,Artist_082,Hip-Hop,English,335,68,0.272,0.796,-9.12,0.025,0.595,0.644,0.165,0.529,80.26
S0194,Song_0194,Artist_017,Hip-Hop,English,279,53,0.731,0.292,-12.8,0.292,0.674,0.062,0.183,0.149,86.84
S0195,Song_0195,Artist_030,Jazz,Spanish,276,33,0.886,0.521,-6.72,0.082,0.29,0.298,0.246,0.664,149.36
S0196,Song_0196,Artist_013,Jazz,Tamil,185,71,0.601,0.325,-2.33,0.246,0.397,0.254,0.799,0.828,105.82
S0197,Song_0197,Artist_096,Electronic,Tamil,263,56,0.621,0.722,-4.27,0.036,0.22,0.5,0.236,0.718,152.69
S0198,Song_0198,Artist_093,Lo-Fi,Spanish,348,72,0.399,0.878,-14.22,0.278,0.887,0.657,0.283,0.537,80.5
S0199,Song_0199,Artist_094,Electronic,English,162,51,0.799,0.391,-10.11,0.265,0.469,0.48,0.538,0.092,92.79
S0200,Song_0200,Artist_082,Lo-Fi,English,164,74,0.786,0.218,-2.97,0.18,0.603,0.838,0.256,0.918,80.36
S0201,Song_0201,Artist_013,Electronic,Hindi,238,43,0.659,0.398,-8.46,0.023,0.7,0.856,0.196,0.706,183.88
S0202,Song_0202,Artist_043,Rock,Hindi,337,15,0.366,0.708,-6.39,0.092,0.359,0.325,0.152,0.744,112.7
S0203,Song_0203,Artist_085,Rock,English,171,38,0.276,0.423,-3.14,0.134,0.687,0.7,0.271,0.789,103.84
S0204,Song_0204,Artist_094,R&B,English,340,15,0.25,0.381,-3.64,0.149,0.645,0.665,0.112,0.745,61.85
S0205,Song_0205,Artist_021,Electronic,Hindi,352,5,0.662,0.303,-8.48,0.103,0.673,0.804,0.044,0.46,79.94
S0206,Song_0206,Artist_055,Classical,Hindi,223,93,0.844,0.563,-9.31,0.029,0.47,0.403,0.65,0.732,114.75
S0207,Song_0207,Artist_081,R&B,English,174,83,0.869,0.379,-10.58,0.185,0.37,0.477,0.136,0.631,68.91
S0208,Song_0208,Artist_040,Jazz,Hindi,250,54,0.562,0.757,-5.65,0.167,0.219,0.374,0.628,0.844,126.4
S0209,Song_0209,Artist_083,Indie,Hindi,325,51,0.812,0.214,-11.27,0.099,0.785,0.765,0.644,0.796,119.15
S0210,Song_0210,Artist_015,Electronic,Hindi,320,10,0.939,0.701,-11.75,0.031,0.582,0.207,0.444,0.088,159.73
S0211,Song_0211,Artist_073,Rock,English,266,12,0.415,0.347,-10.37,0.298,0.428,0.216,0.268,0.402,145.77
