user_id,age,gender,preferred_genre,preferred_language
U0069,25,Female,Rock,Hindi
U0070,51,Male,Country,English
U0071,29,Female,Jazz,Telugu
U0072,46,Female,Country,English
U0073,30,Male,Pop,Hindi
U0074,23,Female,Pop,English
U0075,29,Female,Classical,English
U0076,38,Female,Country,Hindi
U0077,55,Male,Hip-Hop,English
U0078,36,Male,R&B,Telugu
U0079,31,Other,Pop,English
U0080,60,Female,Classical,English
U0081,33,Male,R&B,Hindi
U0082,39,Female,Country,English
U0083,41,Female,Country,English
U0084,40,Female,Lo-Fi,Telugu
U0085,60,Female,Classical,English
U0086,56,Male,Pop,Tamil
U0087,44,Male,Hip-Hop,English
U0088,30,Male,Country,English
U0089,60,Female,Hip-Hop,Telugu
U0090,16,Male,Country,English
U0091,40,Male,Pop,English
U0092,22,Male,R&B,English
U0093,24,Female,Electronic,English
U0094,39,Female,R&B,Tamil
U0095,16,Male,Country,English
U0096,59,Male,Indie,Telugu
U0097,23,Female,Electronic,Tamil
U0098,39,Male,Electronic,English
U0099,26,Male,Hip-Hop,Tamil
U0100,32,Male,Classical,English
U0101,23,Male,Hip-Hop,Spanish
U0102,50,Male,Hip-Hop,English
U0103,50,Female,Indie,Telugu
U0104,48,Male,R&B,Hindi
U0105,20,Female,R&B,English
U0106,57,Male,Jazz,Hindi
U0107,54,Female,Country,Telugu
U0108,56,Female,Indie,English
U0109,43,Male,Jazz,English
U0110,22,Female,Pop,Telugu
U0111,24,Male,Country,Hindi
U0112,23,Other,Country,Spanish
U0113,27,Male,Lo-Fi,Telugu
U0114,49,Male,Lo-Fi,Spanish
U0115,48,Male,Rock,Telugu
U0116,38,Other,Rock,English
U0117,39,Female,Hip-Hop,English
U0118,52,Female,Pop,Telugu
U0119,50,Male,Electronic,Hindi
U0120,59,Female,Electronic,English
U0121,55,Male,Lo-Fi,English
U0122,37,Female,Lo-Fi,Spanish
U0123,42,Male,Lo-Fi,Hindi
U0124,50,Male,Indie,English
U0125,16,Male,Classical,Hindi
U0126,50,Male,Rock,English
U0127,52,Female,Indie,English
U0128,29,Male,R&B,English
U0129,18,Female,Electronic,English
U0130,16,Male,Country,Telugu
U0131,20,Female,Rock,English
U0132,41,Male,Jazz,Tamil
U0133,29,Male,R&B,Tamil
U0134,54,Female,Rock,English
U0135,42,Male,Indie,Hindi
U0136,24,Male,Pop,Hindi
U0137,30,Female,Country,Tamil
U0138,30,Female,Rock,English
U0139,41,Male,Classical,Telugu
U0140,57,Male,Lo-Fi,Hindi
U0141,28,Female,Lo-Fi,English
U0142,47,Male,Country,English
U0143,54,Male,Indie,Hindi
U0144,47,Male,Lo-Fi,Telugu
U0145,19,Female,Rock,English
U0146,45,Female,Jazz,Hindi
U0147,52,Male,Electronic,English
U0148,38,Male,Electronic,Telugu
U0149,54,Male,R&B,English
U0150,60,Female,Hip-Hop,Tamil
U0151,30,Male,Pop,English
U0152,58,Male,Country,English
U0153,44,Female,R&B,English
U0154,51,Male,Hip-Hop,English
U0155,28,Female,Indie,Hindi
U0156,47,Male,Classical,English
U0157,22,Male,Classical,Tamil
U0158,37,Male,Pop,English
U0159,43,Female,Lo-Fi,English
U0160,17,Female,Rock,English
U0161,57,Female,R&B,English
U0162,60,Male,R&B,English
U0163,21,Female,Country,English
U0164,43,Male,Country,Hindi
U0165,43,Male,Classical,English
U0166,59,Female,Classical,Hindi
U0167,59,Male,Jazz,Hindi
U0168,35,Male,Jazz,English
U0169,45,Male,Lo-Fi,Hindi
U0170,26,Male,Jazz,Spanish
U0171,43,Male,Rock,Hindi
U0172,40,Female,Rock,Telugu
U0173,54,Male,R&B,English
U0174,48,Female,Electronic,Telugu
U0175,16,Female,Rock,Telugu
U0176,42,Male,Hip-Hop,Hindi
U0177,28,Male,Classical,Spanish
U0178,56,Male,Country,English
U0179,18,Female,Jazz,English
U0180,54,Male,R&B,Telugu
U0181,21,Female,Pop,Telugu
U0182,23,Male,Country,English
U0183,42,Female,Hip-Hop,English
U0184,24,Male,Jazz,English
U0185,52,Male,Hip-Hop,English
U0186,48,Female,Classical,Telugu
U0187,57,Female,Classical,Hindi
U0188,59,Male,Lo-Fi,English
U0189,39,Female,R&B,English
U0190,30,Female,Country,English
U0191,47,Female,Indie,English
U0192,47,Female,Indie,Hindi
U0193,39,Male,Country,Spanish
U0194,56,Male,Pop,Tamil
U0195,27,Male,R&B,English
U0196,54,Female,Hip-Hop,Tamil
U0197,17,Female,Pop,Telugu
U0198,18,Male,Electronic,Telugu
U0199,52,Male,Country,Hindi
U0200,32,Female,Hip-Hop,English
U0201,17,Other,Indie,English
U0202,17,Female,Rock,English
U0203,43,Male,Lo-Fi,English
U0204,38,Male,Indie,English
U0205,52,Male,R&B,Hindi
U0206,47,Female,Classical,Telugu
U0207,48,Male,Rock,Hindi
U0208,16,Female,Lo-Fi,English
U0209,34,Male,Lo-Fi,Spanish
U0210,17,Female,Electronic,Spanish
U0211,59,Female,Electronic,Telugu
U0212,41,Female,Jazz,Spanish
U0213,47,Male,Indie,Hindi
U0214,21,Male,Indie,Spanish
U0215,47,Male,Indie,English
U0216,19,Female,Jazz,English
U0217,26,Female,Pop,English
U0218,32,Female,Lo-Fi,English
U0219,53,Female,Rock,English
U0220,39,Female,R&B,Hindi
U0221,20,Male,Lo-Fi,Telugu
U0222,49,Female,Electronic,Hindi
U0223,21,Male,Hip-Hop,English
U0224,37,Male,Classical,Telugu
U0225,26,Female,Jazz,Hindi
U0226,31,Male,Country,English
U0227,48,Male,Hip-Hop,Telugu
U0228,24,Female,R&B,English
U0229,21,Male,Indie,English
U0230,31,Female,Electronic,Tamil
U0231,44,Male,Electronic,English
U0232,18,Male,Electronic,Hindi
U0233,35,Male,Indie,Tamil
U0234,51,Male,Country,Telugu
U0235,34,Female,Jazz,English
U0236,41,Male,Hip-Hop,English
U0237,18,Female,Indie,English
U0238,34,Male,R&B,Hindi
U0239,35,Female,Jazz,English
U0240,47,Female,R&B,English
U0241,22,Female,Jazz,Spanish
U0242,56,Male,Country,Hindi
U0243,48,Male,Classical,English
U0244,55,Male,R&B,Hindi
U0245,54,Female,Indie,Telugu
U0246,33,Male,Jazz,English
U0247,55,Female,Electronic,English
U0248,16,Female,Lo-Fi,Telugu
U0249,26,Male,Electronic,Hindi
U0250,43,Female,Pop,Hindi
U0251,40,Male,Classical,English
U0252,38,Male,Classical,English
U0253,46,Female,Electronic,English
U0254,45,Female,Hip-Hop,English
U0255,57,Female,Country,English
U0256,50,Male,R&B,English
U0257,22,Male,Indie,Tamil
U0258,31,Female,Classical,Spanish
U0259,41,Female,Electronic,Telugu
U0260,17,Female,Electronic,Tamil
U0261,16,Male,Country,English
U0262,27,Female,Country,Spanish
U0263,20,Male,Rock,English
U0264,52,Male,Rock,Spanish
U0265,47,Female,Hip-Hop,Spanish
U0266,24,Male,Hip-Hop,Telugu
U0267,56,Female,Pop,Spanish
U0268,50,Male,Hip-Hop,Hindi
U0269,34,Male,Jazz,English
U0270,31,Female,Country,English
U0271,18,Female,Indie,Hindi
U0272,35,Female,Jazz,English
U0273,39,Female,R&B,Hindi
U0274,48,Female,Electronic,Spanish
U0275,39,Female,Hip-Hop,English
U0276,26,Female,Electronic,Telugu
U0277,23,Male,Classical,Tamil
U0278,51,Female,Pop,Spanish
U0279,53,Male,Classical,Spanish
U0280,55,Other,Pop,Hindi
U0281,35,Female,Rock,Spanish
U0282,50,Male,Electronic,Telugu
U0283,40,Female,Pop,English
U0284,50,Female,Lo-Fi,Hindi
U0285,40,Male,Jazz,Telugu
U0286,44,Female,Pop,English
U0287,33,Female,Pop,Hindi
U0288,33,Male,Jazz,Hindi
U0289,17,Female,Electronic,English
U0290,50,Male,Electronic,Hindi
U0291,31,Female,Jazz,Telugu
U0292,56,Other,Classical,Hindi
U0293,51,Female,Lo-Fi,English
U0294,48,Male,Indie,English
U0295,19,Female,R&B,English
U0296,48,Female,Lo-Fi,Spanish
U0297,29,Male,Electronic,English
U0298,36,Female,Indie,Hindi
U0299,35,Male,Rock,English
U0300,23,Female,Hip-Hop,English
U0301,22,Male,Pop,Tamil
U0302,18,Male,Jazz,Telugu
U0303,32,Male,Jazz,English
U0304,48,Female,Pop,English
U0305,27,Male,Hip-Hop,English
U0306,37,Female,R&B,Hindi
U0307,37,Male,Hip-Hop,Hindi
U0308,45,Male,Indie,English
U0309,53,Female,Hip-Hop,English
U0310,53,Female,Indie,English
U0311,60,Male,Hip-Hop,Tamil
U0312,23,Female,R&B,Spanish
U0313,42,Female,R&B,English
U0314,42,Female,Electronic,Telugu
U0315,49,Male,Pop,English
U0316,36,Male,R&B,English
U0317,45,Female,Indie,Telugu
U0318,48,Male,R&B,Tamil
U0319,43,Female,Electronic,Spanish
U0320,48,Female,Jazz,Hindi
U0321,20,Female,Indie,English
U0322,34,Female,Electronic,Telugu
U0323,19,Other,Classical,English
U0324,50,Male,Classical,Hindi
U0325,32,Female,Rock,English
U0326,59,Male,Hip-Hop,Hindi
U0327,43,Male,Pop,English
U0328,45,Female,Country,English
U0329,44,Female,Lo-Fi,Tamil
U0330,21,Other,Electronic,English
U0331,50,Female,Jazz,Hindi
U0332,56,Male,Lo-Fi,English
U0333,52,Male,Jazz,English
U0334,39,Female,Lo-Fi,English
U0335,44,Male,Electronic,English
U0336,46,Male,Country,Tamil
U0337,50,Male,Lo-Fi,English
U0338,48,Male,Electronic,Spanish
U0339,36,Male,R&B,Hindi
U0340,47,Male,Country,English
U0341,38,Male,Indie,Hindi
U0342,48,Male,Jazz,Hindi
U0343,18,Other,Classical,Telugu
U0344,33,Male,Hip-Hop,English
U0345,40,Male,Classical,English
U0346,57,Female,Country,Tamil
U0347,46,Male,Indie,Spanish
U0348,18,Female,Jazz,Tamil
U0349,55,Female,Indie,English
U0350,39,Male,Lo-Fi,Telugu
U0351,47,Male,Jazz,Hindi
U0352,37,Female,Lo-Fi,Hindi
U0353,38,Female,Electronic,English
U0354,17,Male,Country,Hindi
U0355,42,Female,Electronic,English
U0356,57,Male,Rock,English
U0357,17,Other,Indie,Tamil
U0358,41,Male,Lo-Fi,English
U0359,32,Female,R&B,English
U0360,55,Female,Electronic,English
U0361,48,Female,Rock,Spanish
U0362,24,Female,Pop,Hindi
U0363,58,Male,Classical,English
U0364,54,Male,Jazz,Telugu
U0365,44,Male,Rock,Tamil
U0366,57,Male,Country,English
U0367,41,Female,Electronic,Telugu
U0368,50,Male,Country,Telugu
U0369,40,Male,Classical,Hindi
U0370,39,Other,R&B,English
U0371,28,Female,Indie,Tamil
U0372,22,Female,Indie,Hindi
U0373,51,Other,Country,English
U0374,60,Male,Lo-Fi,English
U0375,35,Male,R&B,English
U0376,16,Female,Indie,English
U0377,23,Female,R&B,Telugu
U0378,31,Male,Rock,English
U0379,29,Female,R&B,English
U0380,27,Male,Hip-Hop,Hindi
U0381,38,Male,Classical,English
U0382,30,Female,Indie,Spanish
U0383,43,Female,R&B,English
U0384,49,Female,Country,English
U0385,17,Male,Pop,English
U0386,47,Female,Hip-Hop,English
U0387,38,Male,Hip-Hop,English
U0388,37,Male,Lo-Fi,Telugu
U0389,40,Female,R&B,Spanish
U0390,37,Female,Lo-Fi,English
U0391,37,Female,Lo-Fi,Hindi
U0392,57,Female,Pop,Telugu
U0393,21,Female,Rock,Tamil
U0394,30,Female,R&B,English
U0395,58,Male,Electronic,English
U0396,52,Male,Indie,English
U0397,48,Male,Lo-Fi,Telugu
U0398,23,Male,Classical,Telugu
U0399,59,Female,Jazz,English
U0400,59,Female,Classical,English
U0401,20,Male,Pop,Tamil
U0402,54,Male,Pop,Telugu
U0403,19,Female,Country,Spanish
U0404,21,Male,Rock,Telugu
U0405,60,Female,Indie,English
U0406,47,Female,Lo-Fi,Hindi
U0407,45,Female,Classical,Hindi
U0408,50,Female,Jazz,English
U0409,55,Female,Pop,Hindi
U0410,31,Male,Pop,Telugu
U0411,28,Female,Rock,English
U0412,57,Female,Jazz,Telugu
U0413,45,Male,Jazz,Hindi
U0414,34,Female,Rock,Spanish
U0415,32,Female,Pop,English
U0416,34,Female,Indie,English
U0417,43,Female,R&B,Hindi
U0418,41,Female,R&B,English
U0419,52,Female,Rock,Telugu
U0420,41,Female,Jazz,Telugu
U0421,38,Female,Lo-Fi,English
U0422,24,Female,Rock,Hindi
U0423,27,Female,Indie,Hindi
U0424,16,Female,Rock,English
U0425,16,Male,Hip-Hop,Spanish
U0426,49,Female,Classical,Tamil
U0427,47,Female,Jazz,Telugu
U0428,40,Male,Country,Telugu
U0429,55,Female,Country,Hindi
U0430,60,Male,Jazz,Spanish
U0431,16,Male,Indie,Telugu
U0432,31,Female,Hip-Hop,Telugu
U0433,54,Male,Hip-Hop,Tamil
U0434,20,Female,Pop,English
U0435,37,Female,Classical,Telugu
U0436,44,Female,R&B,English
U0437,18,Male,Electronic,English
U0438,27,Male,Indie,English
U0439,41,Female,Electronic,Spanish
U0440,31,Other,Electronic,Tamil
U0441,52,Female,Jazz,Telugu
U0442,37,Male,Country,Telugu
U0443,44,Female,Country,Hindi
U0444,29,Female,R&B,Spanish
U0445,43,Female,Jazz,Hindi
U0446,20,Male,Electronic,English
U0447,45,Female,Lo-Fi,English
U0448,20,Female,Country,Telugu
U0449,27,Other,Indie,Telugu
U0450,31,Male,Indie,English
U0451,41,Female,Pop,English
U0452,41,Female,Rock,Tamil
U0453,36,Male,Lo-Fi,English
U0454,54,Female,Country,Telugu
U0455,51,Female,Hip-Hop,Spanish
U0456,48,Male,Country,English
U0457,45,Male,Pop,English
U0458,52,Female,Indie,Telugu
U0459,38,Male,Electronic,Telugu
U0460,25,Female,Hip-Hop,Hindi
U0461,20,Male,Jazz,Spanish
U0462,51,Female,Classical,English
U0463,49,Male,Electronic,Hindi
U0464,46,Female,Classical,Telugu
U0465,25,Other,Lo-Fi,Tamil
U0466,34,Other,Rock,English
U0467,47,Female,Hip-Hop,Telugu
U0468,16,Male,R&B,Hindi
U0469,20,Female,Hip-Hop,English
U0470,60,Male,Country,English
U0471,19,Male,Indie,Tamil
U0472,31,Male,Country,English
U0473,39,Female,Country,English
U0474,31,Female,Lo-Fi,English
U0475,17,Female,Electronic,Tamil
U0476,43,Male,R&B,Telugu
U0477,47,Male,R&B,Telugu
U0478,42,Other,Country,English
U0479,35,Male,Classical,Hindi
U0480,39,Male,Lo-Fi,Hindi
U0481,27,Male,Country,Tamil
U0482,50,Female,Rock,Tamil
U0483,48,Female,Indie,English
U0484,48,Male,Electronic,Telugu
U0485,58,Male,Jazz,English
U0486,52,Female,Rock,Hindi
U0487,27,Female,Classical,English
U0488,18,Male,Hip-Hop,English
U0489,16,Female,Hip-Hop,English
U0490,48,Male,Rock,Hindi
U0491,55,Male,Country,English
U0492,25,Female,Jazz,Telugu
U0493,58,Male,Pop,English
U0494,59,Female,Pop,English
U0495,44,Male,Classical,Telugu
U0496,28,Male,Country,English
U0497,27,Other,R&B,English
U0498,46,Male,R&B,Telugu
U0499,17,Female,Electronic,English
U0500,50,Male,Jazz,English
U0501,38,Male,Jazz,English
U0502,32,Male,Hip-Hop,Spanish
U0503,41,Female,Lo-Fi,Hindi
U0504,23,Male,Classical,Telugu
U0505,44,Female,Pop,Hindi
U0506,41,Male,Classical,English
U0507,25,Other,R&B,English
U0508,41,Male,R&B,Telugu
U0509,49,Female,Rock,English
U0510,56,Female,Electronic,English
U0511,22,Female,Jazz,English
U0512,19,Female,Indie,English
U0513,60,Female,Classical,Spanish
U0514,26,Female,R&B,English
U0515,44,Male,Lo-Fi,Hindi
U0516,51,Male,Hip-Hop,English
U0517,40,Female,Pop,Spanish
U0518,36,Female,Electronic,English
U0519,51,Female,Lo-Fi,English
U0520,25,Female,Electronic,Telugu
U0521,52,Male,Rock,Telugu
U0522,24,Male,Indie,English
U0523,39,Female,R&B,English
U0524,50,Male,Hip-Hop,English
U0525,50,Male,Lo-Fi,English
U0526,51,Female,Electronic,English
U0527,33,Male,Jazz,Hindi
U0528,54,Female,Rock,English
U0529,47,Male,Jazz,English
U0530,39,Female,Hip-Hop,Hindi
U0531,38,Male,Lo-Fi,Spanish
U0532,47,Male,Rock,Hindi
U0533,52,Male,Lo-Fi,English
U0534,27,Male,R&B,English
U0535,28,Male,Country,Spanish
U0536,38,Male,Rock,English
U0537,40,Female,Jazz,English
U0538,50,Male,Hip-Hop,Hindi
U0539,56,Female,Indie,Hindi
U0540,45,Female,R&B,Hindi
U0541,32,Female,Country,English
U0542,35,Male,Indie,English
U0543,40,Female,Pop,Spanish
U0544,37,Male,R&B,English
U0545,28,Male,Hip-Hop,Telugu
U0546,34,Other,Electronic,Telugu
U0547,51,Male,Rock,Hindi
U0548,27,Female,Lo-Fi,English
U0549,56,Female,Hip-Hop,English
U0550,34,Female,Rock,Hindi
U0551,27,Female,Indie,Tamil
U0552,24,Male,Lo-Fi,Spanish
U0553,22,Male,Classical,English
U0554,43,Female,Jazz,English
U0555,29,Male,Pop,Spanish
U0556,46,Male,R&B,Telugu
U0557,34,Male,Hip-Hop,Tamil
U0558,31,Male,Pop,English
U0559,20,Male,Electronic,Hindi
U0560,50,Male,Rock,Telugu
U0561,27,Female,Rock,Telugu
U0562,40,Female,Hip-Hop,English
U0563,36,Female,Country,English
U0564,51,Male,Country,Hindi
U0565,38,Male,Classical,English
U0566,31,Male,Jazz,Hindi
U0567,54,Female,Lo-Fi,Spanish
U0568,60,Female,Electronic,English
U0569,57,Male,Pop,Tamil
U0570,54,Female,Country,English
U0571,29,Male,Classical,Telugu
U0572,46,Female,Classical,Spanish
U0573,20,Female,Hip-Hop,English
U0574,50,Female,Electronic,English
U0575,38,Female,Indie,English
U0576,44,Female,Lo-Fi,English
U0577,58,Male,Jazz,Telugu
U0578,26,Female,R&B,Tamil
U0579,33,Male,Hip-Hop,English
U0580,27,Female,Lo-Fi,English
U0581,24,Female,R&B,English
U0582,25,Female,R&B,Telugu
U0583,59,Male,Electronic,English
U0584,32,Female,Electronic,Hindi
U0585,53,Female,Pop,Hindi
U0586,22,Female,Classical,Hindi
U0587,28,Male,Lo-Fi,English
U0588,55,Male,Hip-Hop,Telugu
U0589,57,Male,Rock,English
U0590,24,Male,Hip-Hop,English
U0591,42,Female,Pop,Tamil
U0592,17,Male,Jazz,Telugu
U0593,20,Other,Classical,English
U0594,44,Male,Rock,English
U0595,52,Male,Country,English
U0596,53,Female,Jazz,English
U0597,34,Female,Electronic,English
U0598,23,Female,R&B,English
U0599,60,Female,Country,Hindi
U0600,16,Female,Hip-Hop,Telugu
U0601,37,Male,Hip-Hop,Hindi
U0602,32,Other,Electronic,Telugu
U0603,22,Other,Pop,English
U0604,40,Female,Lo-Fi,Spanish
U0605,60,Male,Country,Tamil
U0606,19,Female,Country,Telugu
U0607,51,Male,Indie,Tamil
U0608,21,Male,Jazz,Spanish
U0609,46,Male,Classical,Hindi
U0610,34,Male,Jazz,English
U0611,59,Female,Lo-Fi,Hindi
U0612,54,Female,Hip-Hop,Telugu
U0613,42,Female,Hip-Hop,Telugu
U0614,25,Male,Hip-Hop,Hindi
U0615,41,Male,Indie,English
U0616,34,Male,Hip-Hop,English
U0617,54,Other,Lo-Fi,Spanish
U0618,18,Male,Electronic,Hindi
U0619,60,Female,Classical,Hindi
U0620,28,Female,Lo-Fi,English
U0621,43,Male,Classical,English
U0622,35,Female,Lo-Fi,Tamil
U0623,43,Female,Hip-Hop,Hindi
U0624,23,Female,Electronic,Telugu
U0625,56,Female,Country,Hindi
U0626,54,Male,Jazz,Hindi
U0627,16,Male,R&B,English
U0628,18,Female,Electronic,Telugu
U0629,28,Female,Country,English
U0630,43,Male,Pop,English
U0631,40,Female,Lo-Fi,Hindi
U0632,48,Female,Pop,Spanish
U0633,53,Female,Country,English
U0634,21,Male,Electronic,Tamil
U0635,59,Female,Lo-Fi,English
U0636,60,Female,R&B,English
U0637,47,Male,Hip-Hop,English
U0638,60,Male,Lo-Fi,English
U0639,36,Other,Lo-Fi,Hindi
U0640,31,Male,Electronic,English
U0641,36,Female,Electronic,Hindi
U0642,26,Female,Country,Spanish
U0643,52,Male,Rock,English
U0644,51,Female,Lo-Fi,Telugu
U0645,50,Male,Jazz,English
U0646,34,Female,Lo-Fi,Hindi
U0647,35,Male,Country,English
U0648,33,Female,Classical,English
U0649,56,Male,Pop,English
U0650,29,Male,Hip-Hop,English
U0651,30,Other,Rock,English
U0652,46,Male,R&B,Hindi
U0653,16,Female,R&B,Tamil
U0654,18,Male,R&B,Telugu
U0655,31,Female,Electronic,Telugu
U0656,38,Male,R&B,English
U0657,26,Other,Hip-Hop,English
U0658,27,Male,Pop,English
U0659,25,Male,R&B,English
U0660,47,Male,Lo-Fi,Hindi
U0661,31,Male,Lo-Fi,Hindi
U0662,23,Female,Electronic,English
U0663,53,Male,Hip-Hop,English
U0664,27,Female,Pop,Tamil
U0665,39,Male,Rock,Telugu
U0666,43,Male,Country,English
U0667,23,Female,Pop,Tamil
U0668,43,Female,Country,Spanish
U0669,51,Male,Classical,English
U0670,41,Male,Country,English
U0671,23,Male,Jazz,Hindi
U0672,43,Female,Lo-Fi,Spanish
U0673,43,Female,Hip-Hop,Tamil
U0674,52,Male,Indie,English
U0675,56,Female,Electronic,English
U0676,51,Female,Jazz,Hindi
U0677,42,Female,Country,Hindi
U0678,32,Female,R&B,English
U0679,24,Male,Hip-Hop,Tamil
U0680,48,Male,Jazz,Telugu
U0681,35,Male,Electronic,Tamil
U0682,28,Male,Lo-Fi,Tamil
U0683,43,Female,Hip-Hop,Telugu
U0684,44,Female,Electronic,English
U0685,28,Male,Classical,Hindi
U0686,50,Male,Classical,English
U0687,21,Male,Electronic,Telugu
U0688,33,Female,Jazz,English
U0689,20,Male,Hip-Hop,Telugu
U0690,40,Female,Jazz,English
U0691,17,Male,Rock,English
U0692,25,Male,Country,English
U0693,45,Other,Rock,English
U0694,60,Other,Classical,Telugu
U0695,20,Male,Lo-Fi,Telugu
U0696,48,Female,Pop,Hindi
U0697,16,Female,Country,English
U0698,33,Female,Classical,English
U0699,47,Male,Jazz,English
U0700,26,Female,Jazz,English
U0701,36,Female,Jazz,Tamil
U0702,41,Female,Lo-Fi,English
U0703,40,Male,Rock,English
U0704,37,Male,Pop,English
U0705,42,Male,Jazz,English
U0706,28,Female,Indie,Hindi
U0707,48,Male,Country,Hindi
U0708,49,Female,Hip-Hop,English
U0709,56,Other,Indie,English
U0710,50,Male,Pop,English
U0711,16,Female,Lo-Fi,English
U0712,36,Male,Pop,English
U0713,21,Female,Hip-Hop,Spanish
U0714,43,Male,Country,Hindi
U0715,32,Female,Hip-Hop,Hindi
U0716,20,Female,Electronic,English
U0717,46,Female,Country,English
U0718,20,Female,Pop,Hindi
U0719,53,Female,Jazz,Telugu
U0720,18,Female,Pop,Telugu
U0721,38,Female,Pop,English
U0722,52,Female,Country,Hindi
U0723,52,Male,Electronic,English
U0724,25,Female,Pop,Tamil
U0725,25,Female,Indie,Hindi
U0726,34,Female,Classical,Hindi
U0727,32,Male,R&B,English
U0728,36,Female,R&B,Hindi
U0729,29,Male,Pop,English
U0730,24,Female,Indie,English
U0731,16,Male,Jazz,English
U0732,60,Female,Lo-Fi,Telugu
U0733,28,Other,Lo-Fi,English
U0734,19,Male,Country,English
U0735,16,Other,R&B,Tamil
U0736,55,Male,Pop,English
U0737,47,Female,Lo-Fi,Hindi
U0738,49,Female,Pop,English
U0739,43,Female,Country,English
U0740,46,Female,R&B,Telugu
U0741,23,Female,Hip-Hop,English
U0742,54,Male,Classical,Hindi
U0743,41,Male,Classical,Hindi
U0744,49,Female,Lo-Fi,Hindi
U0745,18,Female,Classical,Telugu
U0746,27,Female,Hip-Hop,English
U0747,16,Female,Pop,English
U0748,59,Male,Country,Telugu
U0749,20,Female,Hip-Hop,Hindi
U0750,45,Male,Country,Tamil
U0751,45,Female,Country,Tamil
U0752,32,Male,R&B,Tamil
U0753,38,Male,Pop,Hindi
U0754,30,Male,Indie,English
U0755,52,Male,Classical,Telugu
U0756,36,Female,Indie,Hindi
U0757,29,Male,R&B,English
U0758,17,Male,Country,Tamil
U0759,26,Male,Lo-Fi,Tamil
U0760,54,Male,Classical,Hindi
U0761,53,Male,Classical,English
U0762,49,Male,Pop,English
U0763,53,Female,Electronic,Telugu
U0764,49,Female,Rock,Tamil
U0765,33,Female,Rock,English
U0766,45,Male,Rock,English
U0767,30,Male,Electronic,Tamil
U0768,42,Female,Pop,English
U0769,49,Female,Electronic,Hindi
U0770,53,Male,Rock,Spanish
U0771,48,Male,R&B,English
U0772,39,Male,Hip-Hop,Hindi
U0773,30,Male,Country,English
U0774,45,Male,Electronic,English
U0775,57,Female,Pop,Telugu
U0776,32,Female,Pop,English
U0777,20,Female,Indie,Spanish
U0778,44,Female,Hip-Hop,Hindi
U0779,19,Female,Lo-Fi,English
U0780,25,Female,Classical,English
U0781,32,Female,Rock,English
U0782,25,Male,Lo-Fi,English
U0783,32,Male,Indie,English
U0784,35,Male,Rock,English
U0785,39,Female,Hip-Hop,Hindi
U0786,20,Female,Indie,Telugu
U0787,49,Male,Rock,Hindi
U0788,21,Female,Hip-Hop,Telugu
U0789,17,Male,Jazz,English
U0790,28,Female,Lo-Fi,English
U0791,58,Male,Lo-Fi,Hindi
U0792,58,Male,Classical,Hindi
U0793,26,Female,Hip-Hop,English
U0794,38,Male,Electronic,Telugu
U0795,31,Male,Jazz,Telugu
U0796,46,Male,R&B,Hindi
